teamName,draftOrder,logo
Arizona Cardinals,28,ac.png
Atlanta Falcons,7,af.png
Baltimore Ravens,3,br.png
Buffalo Bills,19,bb.png
Carolina Panthers,25,cp.png
Chicago Bears,21,ch.png
Cincinnati Bengals,5,ci.png
Cleveland Browns,2,cb.png
Dallas Cowboys,29,dc.png
Denver Broncos,10,db.png
Detroit Lions,15,dl.png
Green Bay Packers,13,gp.png
Houston Texans,9,ht.png
Indianapolis Colts,32,ic.png
Jacksonville Jaguars,4,jj.png
Kansas City Chiefs,12,kc.png
Miami Dolphins,17,md.png
Minnesota Vikings,8,mv.png
New England Patriots,26,np.png
New Orleans Saints,6,ns.png
New York Giants,16,ng.png
New York Jets,27,nj.png
Oakland Raiders,11,or.png
Philadelphia Eagles,24,pe.png
Pittsburgh Steelers,20,ps.png
St. Louis Rams,30,lr.png
San Diego Chargers,23,lc.png
San Francisco 49ers,1,sf.png
Seattle Seahawks,14,ss.png
Tampa Bay Buccaneers,18,tb.png
Tennessee Titans,22,tt.png
Washington Redskins,31,wr.png
